id1,id,samp_type,type
S2,brf1,f,recreational
S3,brf2,f,recreational
S4,rvf,f,recreational
S5,ets,s,recreational
S6,tc,f,recreational
S8,cys,s,natural
S13,pfs,s,natural
S16,qns,s,natural
S18,sis,s,natural
